Denominazione Circolo,Squadra,Coordinata 1,Coordinata 2
CANOTTIERI ADDA 1891 LODI ASSOCIAZIONE SPORTIVA DILETTANTISTICA,CANOTTIERI ADDA 1891,45.318524022887196,9.517196606841276
ASSOCIAZIONE SPORTIVA AMP -  ASD DILETTANTISTICA,SPORTIVA AMP,45.17902532133678,9.145246495672463
ALTE GROANE CLUB AS DILETTANTISTICA,ALTE GROANE,45.676380089621155,9.110129298340489
ECO SPORT TENNIS ASSOCIAZIONE SPORTIVA DILETTANTISTICA,ECO SPORT,45.63603593228588,8.797827214235722
OLTREPO' TENNIS ACADEMY SSD ARL,OLTREPO' TENNIS ACADEMY,44.96645752732152,9.053963113682554
GFG SPORT SOCIETA SPORTIVA DILETTANTISTICA ARL,GFG SPORT â€“ David Lloyd,45.49173469542277,9.444851059273223
A.S.DILETTANTISTICA DEMA SPORT 2001 - SEZ.T.C.BRESSANA,DEMA SPORT 2001,45.00210265330635,8.925699582613198
JUNIOR TENNIS MILANO 'DARIO MATTEI GENTILI' S.S.D. A R.L.,JUNIOR TENNIS MILANO,45.46844977784742,9.242465527918279
TENNIS CLUB PAVIA A.S.DILETTANTISTICA  ,T.C. PAVIA,45.194830756799455,9.131998966550022
ASSOCIAZIONE SPORTIVA DILETTANTISTICA TENNIS CLUB LODI,TENNIS CLUB LODI,45.31523058726288,9.496653690392872
BITETENNIS,BITETENNIS ,45.69081524409546,9.667514444366681
ASSOCIAZIONE SPORTIVA DILETTANTISTICA CANOTTIERI FLORA,CANOTTIERI FLORA,45.13447759152135,9.989253673967223
AS DILETTANTISTICA CANOTTIERI TICINO PAVIA,CANOTTIERI TICINO PAVIA ,45.18000023855795,9.144868789839702
ASSOCIAZIONE SPORTIVA DILETTANTISTICA GTENNIS,GTENNIS ,45.52811641540545,9.386110326648518
POLISP.  COMUNALE TORBOLE CASAGLIA  AS DILETTANTISTICA,TORBOLE CASAGLIA ,45.5137466879241,10.114682138078575
CANOTTIERI L. BISSOLATI ASSOCIAZIONE SPORTIVA DILETTANTISTICA,CANOTTIERI L. BISSOLATI,45.133224465799394,9.994545859708746
A.S.D. TENNIS CLUB CIS CHIAVENNA ,CIS CHIAVENNA ,46.32221243284747,9.410659327918276
ASSOCIAZIONE SPORTIVA DILETTANTISTICA NUOVO TENNIS CLUB LURAGO D'ERBA,NTC LURAGO D'ERBA,45.75115769957228,9.21876557560398
CENTRO TENNIS CARPENEDOLO ASSOCIAZIONE SPORTIVA DILETTANTISTICA,TENNIS CARPENEDOLO,45.36233822335864,10.420703613682553
AS DILETTANTISTICA TENNIS CLUB GEMONIO,T.C. GEMONIO,45.88193245415835,8.672663114820756
ASSOCIAZIONE SPORTIVA DILETTANTISTICA BIEFFESPORT,BIEFFESPORT,45.465906716940225,9.115177021077
TENNIS CLUB BERGAMO ASSOCIAZIONE SPORTIVA DILETTANTISTICA,T.C. BERGAMO,45.71475665192523,9.670012559155577
JUNIOR TENNIS TRAINING S.S.D.R.L.,JUNIOR TENNIS TRAINING,45.79618160083397,8.91747164381351
ASSOCIAZIONE SPORTIVA DILETTANTISTICA OLIMPICA TENNIS REZZATO,OLIMPICA TENNIS REZZATO,45.52800664123222,10.325393726811939
ASSOCIAZIONE SPORTIVA DILETTANTISTICA CIRCOLO TENNIS CANTU' ,CIRCOLO TENNIS CANTU' ,45.7397762003202,9.117575321077
AS DILETTANTISTICA TENNIS CLUB COLICO,T.C. COLICO ,46.136085719141015,9.365448413682554
SAN GIUSEPPE S.S.D. A R.L.,SAN GIUSEPPE,45.5536007129595,9.082529675739595
ASSOCIAZIONE SPORTIVA DILETTANTISTICA E CULTURALE TENNIS CLUB LECCO,T.C. LECCO ,45.847923229459724,9.410124751761128
